"","team_api_id","team_long_name","team_short_name","sum_build","sum_chance","sum_defence","noOfPlayers","totalGoals"
"40",8559,"Bolton Wanderers","BOL",167,185,154,46,181
"41",10194,"Stoke City","STK",150,195,153,68,322
"42",8667,"Hull City","HUL",151,195,210,71,144
"43",9879,"Fulham","FUL",142,190,138,72,265
"44",8455,"Chelsea","CHE",157,200,168,72,583
"45",8462,"Portsmouth","POR",148,195,150,44,72
"46",8658,"Birmingham City","BIR",174,210,210,33,75
"47",8602,"Wolverhampton Wanderers","WOL",140,210,210,41,118
"48",8191,"Burnley","BUR",154,210,205,42,70
"49",8483,"Blackpool","BLA",183,205,210,27,55
"50",10003,"Swansea City","SWA",135,210,210,55,233
"51",10172,"Queens Park Rangers","QPR",141,210,210,63,115
"52",9850,"Norwich City","NOR",140,195,200,60,160
"53",8466,"Southampton","SOU",129,205,210,47,216
"54",9798,"Reading","REA",144,210,200,27,43
"55",9826,"Crystal Palace","CRY",173,205,185,42,119
"56",8344,"Cardiff City","CAR",168,210,210,26,32
"57",8197,"Leicester City","LEI",164,185,210,30,114
"58",8678,"Bournemouth","BOU",140,200,210,22,45
"59",9817,"Watford","WAT",160,205,205,20,40
"60",8583,"AJ Auxerre","AUX",168,164,145,41,168
"61",9830,"FC Nantes","NAN",189,160,152,65,135
"62",9827,"Girondins de Bordeaux","BOR",139,190,195,72,404
"63",7819,"SM Caen","CAE",157,165,205,76,220
"64",9746,"Le Havre AC","LEH",154,180,168,31,30
"65",9831,"OGC Nice","NIC",175,165,210,94,342
"66",8682,"Le Mans FC","LEM",115,195,200,32,79
"67",8689,"FC Lorient","LOR",158,180,200,94,378
"68",9748,"Olympique Lyonnais","LYO",161,185,200,73,497
"69",9941,"Toulouse FC","TOU",158,165,140,79,339
"70",9829,"AS Monaco","MON",168,165,205,99,287
"71",9847,"Paris Saint-Germain","PSG",174,191,210,66,568
"72",8481,"AS Nancy-Lorraine","NAN",146,172,210,55,203
"73",8639,"LOSC Lille","LIL",152,184,180,78,450
"74",9851,"Stade Rennais FC","REN",167,195,210,94,367
"75",8592,"Olympique de Marseille","MAR",169,210,200,81,462
"76",9874,"FC Sochaux-Montbéliard","SOC",164,184,165,71,246
"77",9855,"Grenoble Foot 38","GRE",140,195,195,39,55
"78",9873,"Valenciennes FC","VAL",160,188,155,60,256
"79",9853,"AS Saint-Étienne","ETI",165,175,148,87,371
"80",8588,"RC Lens","LEN",165,180,200,54,107
"81",10249,"Montpellier Hérault SC","MON",162,160,210,60,344
"82",4170,"US Boulogne Cote D'Opale","BOU",86,165,200,31,31
"83",108893,"AC Arles-Avignon","ARL",156,141,158,28,21
"84",8521,"Stade Brestois 29","BRE",161,168,210,47,99
"85",8576,"AC Ajaccio","AJA",168,180,140,47,116
"86",4087,"Évian Thonon Gaillard FC","ETG",156,180,165,56,180
"87",9836,"Dijon FCO","DIJ",154,165,149,26,38
"88",9837,"Stade de Reims","REI",154,165,140,48,168
"89",7794,"SC Bastia","BAS",174,156,210,64,165
"90",10242,"ES Troyes AC","TRO",148,150,140,45,71
"91",9747,"En Avant de Guingamp","GUI",169,170,145,41,122
"92",8550,"FC Metz","MET",152,175,150,26,31
"93",8121,"Angers SCO","ANG",159,180,140,26,40
"94",6391,"GFC Ajaccio","GAJ",153,179,146,23,37
"95",9823,"FC Bayern Munich","BMU",105,205,184,65,653
"96",9790,"Hamburger SV","HAM",164,200,175,84,344
"97",8178,"Bayer 04 Leverkusen","LEV",157,210,200,70,483
"98",9789,"Borussia Dortmund","DOR",170,194,178,63,551
"99",10189,"FC Schalke 04","S04",143,195,185,87,426
"100",9904,"Hannover 96","HAN",144,175,210,85,359
"101",8721,"VfL Wolfsburg","WOL",170,210,171,83,463
